"Actual","Predicted"
6811.764,6812.89834784719
9498.493,9521.30512271567
8700.107,8695.35974560931
6972.442,7012.57500559668
7302.939,7328.67813585794
9061.964,8983.71827521005
7279.734,7327.62825941679
8061.431,7946.26633389673
6991.962,6959.03944611891
6964.212,6964.92992093442
8019.612,7946.0206673063
7248.829,7327.65954708378
9403.925,9322.74349628646
7089.258,7065.29038174579
8584.809,8699.33849810788
7267.659,7327.76905391823
7173.935,7329.08806270004
7039.329,7009.36450291487
7965.606,7948.36289960774
8783.402,8697.73326557773
7929.622,7949.94785355894
6919.684,7059.60702290184
9374.013,9325.47971144681
8742.538,8697.92099157965
10046.869,9966.79406279972
7229.879,7329.13499420052
8671.152,8697.73790032319
8589.976,8697.85841624568
7373.022,7327.58132791631
8693.069,8695.33627985907
9530.782,9520.52224785786
8734.091,8700.79830139114
7426.097,7326.16063421679
7227.349,7328.39335968378
7303.018,7327.7299443345
9426.354,9533.7600821076
9538.51,9522.61438787837
10045.912,9960.52479026411
6931.961,6896.68795083032
9882.873,9959.60344338314
7969.023,7946.74665798956
9346.809,9315.53945567082
9528.813,9516.79885972052
7286.158,7327.7299443345
9529.212,9530.93043383188
7264.953,7326.91791256703
8588.682,8700.57610055095
8053.126,7946.38366264793
9557.815,9525.53411396969
9042.024,8979.73409229869
7217.812,7329.00202161583
9473.785,9520.98995959269
6952.857,6801.99864660212
9388.637,9312.77909802249
7962.644,7948.19081743931
7322.296,7327.99125475842
9252.535,9316.73450052995
6836.347,6900.87704409325
7241.474,7328.73288927516
9261.22,9310.57977599274
9289.593,9315.64696537487
7031.732,7029.2084638399
9287.243,9312.40514709783
7987.237,7949.63961163453
9428.441,9527.98981132075
7360.734,7328.42464735076
9579.797,9515.41694863067
9979.745,9948.63454948534
7436.729,7326.1449903833
7891.732,7947.03143416372
7960.234,7948.04683576659
10034.512,9962.4748844985
9874.666,9958.05187948781
8576.127,8699.64674003229
9444.748,9530.51469006759
8645.479,8696.95252147726
9970.453,9950.10978445895
9521.684,9532.92188397949
9597.33,9520.16908412142
8629.479,8701.09089948204
7170.941,7328.42464735076
6917.14,6806.73759768028
9248.095,9316.39855021876
9944.878,9948.21858725784
6921.74,7003.84975958563
10014.359,9960.21298244089
8079.305,7946.79358949004
7355.427,7326.97266598426
9575.07,9521.48516911526
6875.11,6812.81318283179
8656.757,8699.56069894807
9260.155,9316.37765379894
7864.037,7948.78064836659
8975.663,8985.65398736411
10029.643,9945.39922334463
8675.546,8696.93369047248
7223.68,7329.14281611727
6884.513,7066.96282435537
8949.129,8981.27574918869
7397.957,7326.64095830962
7951.444,7949.12017795798
7980.365,7945.95027005558
8599.528,8697.32015156434
9255.388,9319.76151786211
9884.363,9952.35771915947
8067.823,7945.99720155606
9928.803,9957.63288965536
7098.877,6982.56226087821
9071.012,8979.71345605334
9060.733,8987.54646042498
7913.806,7946.72319223932
9912.79,9946.95468869775
6905.989,6905.46125881209
9540.511,9523.13038458916
9562.459,9522.97448067755
8652.899,8700.93127397583
8763.745,8697.36708306482
9470.717,9522.93290630112
9318.657,9321.46216583791
9907.24,9942.63529193332
7056.941,7005.66796108655
6931.82,7018.85770671975
6997.011,7043.63410994055
8658.945,8694.19254041697
9944.853,9948.46110445368
7078.76,7030.89796023564
9886.544,9963.41344480471
9515.057,9529.7874661749
9925.622,9959.3956807326
9617.963,9530.21684960145
10050.226,9967.75330106254
7410.944,7327.32001749239
9503.772,9515.9053383221
7127.879,6965.80134086457
9070.809,8985.82939544954
7123.851,6966.95898454305
6827.872,6784.07341654447
6885.23,6821.7290123716
9918.179,9957.53945653999
10056.719,9956.04288822015
6877.874,6860.19983967798
9579.254,9517.43275972946
9510.132,9527.50142162931
6859.569,6806.39949058206
9540.653,9534.94819790399
9264.724,9314.87794864253
6764.008,6847.57585009494
7343.586,7327.69083475076
10016.176,9948.94278354559
9317.693,9321.23697129892
7284.811,7326.93355640053
8660.125,8697.99921074712
6792.296,6835.69202237347
9437.031,9325.85734536605
8577.689,8699.74842494999
7322.863,7327.36694899287
6982.147,6981.16477852751
9004.002,8989.07264013097
9885.487,9941.14251583966
6929.357,7046.96161172912
9481.664,9525.21548631534
9089.2,8986.26488490768
7991.437,7948.30032427377
7240.571,7328.41682543402
9472.373,9525.499468656
9403.862,9314.82944520337
8703.824,8697.55017432128
8742.938,8697.36708306482
6837.511,6868.57652846764
9884.435,9959.02865887068
6919.314,6829.91450850563
10040.441,9956.76675681308
6884.477,7043.77171727071
9432.87,9522.28179286694
8696.107,8696.02779570405
9007.24,8981.22931763667
6986.779,6855.87546272788
9405.058,9322.43883598919
9936.926,9963.00820386613
6809.081,6782.65823365922
9085.025,8985.43730678798
9248.314,9315.96559302922
7990.846,7948.69460728238
8761.007,8697.73007840645
8984.974,8984.04845513557
7354.352,7327.31219557565
9288.819,9311.64998849098
9541.325,9527.03046382632
9946.237,9954.79284778553
10045.778,9972.72012826657
9890.133,9961.74397761122
8999.468,8982.98871925574
6746.089,6792.40580204008
7064.95,7056.69497131016
9258.032,9315.56370739041
6929.002,6905.19039941481
7046.236,6961.98455005569
8058.186,7947.23480399913
7320.533,7328.36989393354
7903.022,7946.74665798956
8945.395,8989.98276323206
7342.663,7326.9961317345
8969.006,8990.93931788516
6935.226,6794.01970747478
9330.523,9318.49047177606
9418.98,9319.04457833191
8914.14,8984.12584105562
9528.579,9525.37474552671
7921.399,7947.46482675606
10072.469,9961.92759777379
9023.331,8987.17500800877
8741.212,8696.69903297008
8707.676,8694.95764068395
7063.88,6958.37777036674
9013.245,8987.89834074879
7321.983,7328.35425010004
9999.7,9945.9744447835
9420.028,9526.12286583923
6810.106,6864.46686008543
9607.717,9526.98888944989
9050.382,8982.09407333867
6770.002,6844.50240831892
10036.935,9947.08623165817
9569.523,9528.57509865892
6799.615,6836.46669669482
7231.62,7327.64390325028
7234.632,7326.84751531631
9567.598,9530.21338507008
6894.162,6958.71585238395
9983.166,9972.01022703072
8572.857,8700.39619646578
7035.464,6959.01713591991
6800.673,6877.84581691623
9512.748,9526.09861411964
7006.069,6985.66611425241
9017.77,8991.21274813599
7227.925,7327.62825941679
8071.759,7947.56651167377
8636.051,8697.58146198826
9423.222,9527.51874428616
8619.378,8695.74620670118
8595.301,8702.40672109257
7223.984,7327.99907667516
7025.256,7054.09343512384
7243.007,7328.36207201679
9071.834,8986.84892299163
9404.523,9319.39092223722
6946.809,7056.06166299562
8629.936,8697.86623816243
7355.33,7326.92573448378
9031.295,8981.58635702182
9407.872,9524.17991913079
7314.284,7327.66736900052
6915.018,6882.51434566267
9586.242,9518.03536972447
9943.213,9964.4663346461
8999.92,8985.39087523596
9892.111,9945.81150257755
9331.366,9317.46183365426
7347.397,7326.96484406751
7099.741,7000.9382669588
8078.459,7947.09400949769
6919.292,6785.21801951488
8732.935,8700.71226030692
9986.301,9959.98129576558
9476.686,9522.42383865307
9113.283,8989.92085449602
9551.977,9532.33659664132
9037.701,8983.21678210749
7194.936,7328.05383009239
9329.322,9318.17530865308
10074.6,9962.76926043327
8752.985,8699.03344335477
6844.39,6878.95712568061
7046.744,6967.60619709397
7060.489,7061.65665711237
10076.44,9974.54225330351
9014.162,8988.9683947513
7280.251,7326.16845613354
10006.399,9939.64627521462
9004.117,8981.40988478344
9962.158,9951.66838664863
9064.746,8988.13156266187
9454.003,9526.76715944227
7967.263,7948.38636535798
7936.141,7947.18787249865
9856.569,9945.76981896952
9349.366,9313.18444819267
9255.828,9314.21655084585
8092.738,7946.42277223166
6838.946,6801.09738657915
8920.521,8984.81821942763
9978.925,9951.87972306214
8075.381,7945.93462622209
7242.233,7329.14281611727
6912.276,6959.61103008727
9986.195,9955.75544134812
8047.872,7948.00772618286
6906.729,7020.06546907
8634.853,8697.61274965525
7268.504,7326.53927339191
7964.422,7949.13582179147
8995.887,8988.98903099665
8713.205,8700.50570330023
